25612.17156679133 -5910.0 [20.0, 23.0, 14.0, 25.0, 4.0, 15.0, 18.0, 9.0, 6.0, 24.0, 11.0, 28.0, 2.0, 10.0, 5.0, 1.0, 17.0, 3.0, 19.0, 22.0, 21.0, 13.0, 27.0, 26.0, 16.0, 8.0, 7.0, 12.0, 29.0]
26599.242441948438 -6212.0 [8.0, 29.0, 12.0, 7.0, 11.0, 2.0, 14.0, 19.0, 28.0, 4.0, 3.0, 24.0, 21.0, 6.0, 16.0, 5.0, 23.0, 26.0, 18.0, 13.0, 25.0, 1.0, 20.0, 17.0, 22.0, 10.0, 15.0, 9.0, 27.0]
23018.345087676553 -5336.0 [2.0, 13.0, 10.0, 1.0, 6.0, 29.0, 18.0, 27.0, 9.0, 3.0, 26.0, 16.0, 8.0, 23.0, 19.0, 22.0, 24.0, 15.0, 28.0, 5.0, 25.0, 20.0, 12.0, 7.0, 17.0, 11.0, 14.0, 4.0, 21.0]
23394.659885008245 -5414.0 [17.0, 11.0, 2.0, 15.0, 1.0, 28.0, 16.0, 23.0, 19.0, 5.0, 7.0, 25.0, 10.0, 14.0, 29.0, 26.0, 4.0, 13.0, 22.0, 21.0, 12.0, 24.0, 18.0, 8.0, 6.0, 27.0, 9.0, 3.0, 20.0]
24645.085568337956 -5724.0 [27.0, 15.0, 8.0, 20.0, 10.0, 12.0, 28.0, 24.0, 11.0, 3.0, 5.0, 18.0, 13.0, 4.0, 14.0, 23.0, 21.0, 22.0, 17.0, 1.0, 7.0, 6.0, 9.0, 29.0, 25.0, 19.0, 2.0, 26.0, 16.0]
21711.04963199112 -5058.0 [11.0, 17.0, 19.0, 15.0, 22.0, 23.0, 21.0, 3.0, 18.0, 10.0, 29.0, 12.0, 28.0, 7.0, 1.0, 5.0, 14.0, 4.0, 26.0, 2.0, 16.0, 8.0, 27.0, 24.0, 20.0, 6.0, 9.0, 25.0, 13.0]
24429.75073631609 -5650.0 [17.0, 13.0, 29.0, 9.0, 18.0, 22.0, 1.0, 21.0, 12.0, 6.0, 14.0, 16.0, 8.0, 23.0, 7.0, 20.0, 26.0, 15.0, 3.0, 4.0, 2.0, 11.0, 28.0, 19.0, 10.0, 27.0, 24.0, 25.0, 5.0]
28952.441658177424 -6725.0 [26.0, 25.0, 29.0, 27.0, 12.0, 1.0, 21.0, 8.0, 10.0, 7.0, 9.0, 24.0, 15.0, 13.0, 5.0, 18.0, 17.0, 16.0, 22.0, 6.0, 19.0, 2.0, 23.0, 11.0, 3.0, 4.0, 20.0, 28.0, 14.0]
20059.581122601867 -4501.0 [3.0, 20.0, 1.0, 8.0, 2.0, 16.0, 11.0, 18.0, 15.0, 14.0, 19.0, 27.0, 7.0, 21.0, 24.0, 6.0, 23.0, 17.0, 22.0, 13.0, 10.0, 25.0, 28.0, 5.0, 26.0, 9.0, 29.0, 12.0, 4.0]
25066.23276362147 -5859.0 [13.0, 18.0, 16.0, 2.0, 21.0, 14.0, 17.0, 3.0, 11.0, 6.0, 29.0, 23.0, 12.0, 26.0, 4.0, 15.0, 27.0, 24.0, 25.0, 20.0, 10.0, 1.0, 22.0, 7.0, 5.0, 9.0, 8.0, 19.0, 28.0]
27786.93690977782 -6379.0 [21.0, 25.0, 13.0, 9.0, 14.0, 1.0, 2.0, 16.0, 11.0, 3.0, 6.0, 28.0, 29.0, 12.0, 24.0, 20.0, 17.0, 27.0, 19.0, 18.0, 5.0, 23.0, 10.0, 8.0, 15.0, 26.0, 7.0, 4.0, 22.0]
