distance,profit,solution
3205.478516151318,-3500.0,25.0,34.0,15.0,1.0,5.0,39.0,4.0,27.0,14.0,42.0,3.0,7.0,16.0,33.0,13.0,32.0,10.0,36.0,9.0,23.0,38.0,17.0,6.0,22.0,21.0,37.0,18.0,12.0,30.0,26.0,31.0,24.0,28.0,29.0,40.0,35.0,8.0,2.0,19.0,11.0,41.0,20.0
2224.2430364232127,-2433.0,30.0,21.0,34.0,38.0,9.0,11.0,16.0,12.0,26.0,1.0,40.0,37.0,41.0,24.0,14.0,29.0,28.0,27.0,17.0,20.0,6.0,5.0,4.0,2.0,8.0,25.0,7.0,23.0,18.0,15.0,33.0,32.0,19.0,22.0,36.0,35.0,39.0,42.0,3.0,10.0,31.0,13.0
2224.2430364232127,-2433.0,30.0,21.0,34.0,38.0,9.0,11.0,16.0,12.0,26.0,1.0,40.0,37.0,41.0,24.0,14.0,29.0,28.0,27.0,17.0,20.0,6.0,5.0,4.0,2.0,8.0,25.0,7.0,23.0,18.0,15.0,33.0,32.0,19.0,22.0,36.0,35.0,39.0,42.0,3.0,10.0,31.0,13.0
3341.281569425453,-3651.0,29.0,4.0,40.0,35.0,3.0,10.0,27.0,30.0,7.0,14.0,42.0,19.0,41.0,15.0,1.0,5.0,39.0,22.0,36.0,23.0,8.0,6.0,16.0,33.0,26.0,31.0,24.0,28.0,13.0,32.0,38.0,17.0,34.0,11.0,21.0,37.0,9.0,18.0,2.0,12.0,20.0,25.0
2141.0240849682746,-2347.0,13.0,21.0,34.0,38.0,9.0,11.0,16.0,12.0,26.0,1.0,40.0,37.0,41.0,24.0,14.0,29.0,28.0,27.0,17.0,20.0,6.0,5.0,4.0,2.0,8.0,25.0,7.0,23.0,18.0,15.0,33.0,32.0,19.0,22.0,36.0,35.0,39.0,42.0,3.0,10.0,31.0,30.0
2308.500342679383,-2566.0,14.0,22.0,36.0,35.0,39.0,42.0,3.0,40.0,10.0,31.0,26.0,41.0,13.0,27.0,23.0,28.0,17.0,12.0,20.0,15.0,33.0,32.0,21.0,37.0,34.0,38.0,9.0,5.0,4.0,8.0,25.0,1.0,6.0,7.0,2.0,30.0,19.0,18.0,29.0,11.0,16.0,24.0
3246.687811333674,-3542.0,25.0,29.0,4.0,40.0,35.0,34.0,27.0,30.0,7.0,14.0,42.0,19.0,41.0,15.0,1.0,5.0,39.0,22.0,36.0,23.0,8.0,6.0,16.0,33.0,26.0,24.0,28.0,32.0,38.0,17.0,11.0,21.0,37.0,9.0,18.0,2.0,12.0,20.0,3.0,10.0,31.0,13.0
3642.603285735044,-3891.0,8.0,15.0,1.0,21.0,5.0,27.0,14.0,31.0,42.0,3.0,28.0,35.0,24.0,7.0,16.0,37.0,33.0,13.0,32.0,26.0,38.0,17.0,11.0,41.0,29.0,40.0,19.0,39.0,22.0,10.0,36.0,23.0,9.0,18.0,6.0,2.0,30.0,12.0,4.0,20.0,25.0,34.0
2888.1556225203226,-3150.0,15.0,14.0,42.0,36.0,6.0,39.0,25.0,32.0,38.0,17.0,34.0,2.0,4.0,11.0,41.0,29.0,13.0,35.0,31.0,8.0,26.0,28.0,24.0,3.0,1.0,10.0,16.0,33.0,9.0,40.0,21.0,37.0,18.0,12.0,20.0,27.0,30.0,7.0,19.0,22.0,5.0,23.0
2720.925722624907,-3024.0,36.0,39.0,26.0,31.0,35.0,21.0,37.0,4.0,40.0,8.0,10.0,30.0,17.0,19.0,22.0,42.0,12.0,34.0,38.0,9.0,28.0,18.0,29.0,15.0,33.0,25.0,20.0,11.0,16.0,24.0,14.0,1.0,3.0,6.0,7.0,2.0,5.0,32.0,41.0,13.0,27.0,23.0
2550.0645890853552,-2832.0,19.0,22.0,35.0,39.0,42.0,3.0,40.0,10.0,31.0,26.0,41.0,13.0,27.0,21.0,37.0,34.0,38.0,9.0,36.0,5.0,4.0,8.0,25.0,14.0,29.0,7.0,23.0,28.0,17.0,12.0,20.0,15.0,33.0,32.0,11.0,16.0,18.0,6.0,2.0,30.0,24.0,1.0
2337.8946666176494,-2576.0,16.0,12.0,24.0,14.0,29.0,28.0,1.0,40.0,10.0,31.0,26.0,41.0,13.0,27.0,21.0,37.0,17.0,20.0,6.0,5.0,4.0,2.0,8.0,25.0,7.0,23.0,18.0,15.0,33.0,32.0,19.0,22.0,36.0,35.0,39.0,42.0,3.0,30.0,34.0,38.0,9.0,11.0
2402.815627058832,-2695.0,35.0,39.0,42.0,3.0,40.0,10.0,31.0,41.0,13.0,27.0,21.0,37.0,34.0,9.0,28.0,17.0,12.0,20.0,15.0,33.0,32.0,11.0,16.0,18.0,30.0,4.0,2.0,8.0,25.0,5.0,23.0,14.0,29.0,7.0,1.0,24.0,19.0,22.0,26.0,38.0,6.0,36.0
